Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Marlborough Region","Total people, usual residence five years ago","Total people, age group","Total people, sex",43416,
"Far North District","Total people, usual residence five years ago","Total people, age group","Total people, sex",55734,
"Whangarei District","Total people, usual residence five years ago","Total people, age group","Total people, sex",76995,
"Carterton District","Total people, usual residence five years ago","Total people, age group","Total people, sex",8232,
"South Wairarapa District","Total people, usual residence five years ago","Total people, age group","Total people, sex",9528,
"Tasman District","Total people, usual residence five years ago","Total people, age group","Total people, sex",47157,
"Nelson City","Total people, usual residence five years ago","Total people, age group","Total people, sex",46437,
"Marlborough District","Total people, usual residence five years ago","Total people, age group","Total people, sex",43416,
"Kaikoura District","Total people, usual residence five years ago","Total people, age group","Total people, sex",3552,
"Buller District","Total people, usual residence five years ago","Total people, age group","Total people, sex",10473,
"Grey District","Total people, usual residence five years ago","Total people, age group","Total people, sex",13371,
"Westland District","Total people, usual residence five years ago","Total people, age group","Total people, sex",8304,
"Hurunui District","Total people, usual residence five years ago","Total people, age group","Total people, sex",11529,
"Waimakariri District","Total people, usual residence five years ago","Total people, age group","Total people, sex",49989,
"Christchurch City","Total people, usual residence five years ago","Total people, age group","Total people, sex",341469,
"Selwyn District","Total people, usual residence five years ago","Total people, age group","Total people, sex",44595,
"Ashburton District","Total people, usual residence five years ago","Total people, age group","Total people, sex",31041,
"Timaru District","Total people, usual residence five years ago","Total people, age group","Total people, sex",43929,
"Mackenzie District","Total people, usual residence five years ago","Total people, age group","Total people, sex",4158,
"Waimate District","Total people, usual residence five years ago","Total people, age group","Total people, sex",7536,
"Chatham Islands Territory","Total people, usual residence five years ago","Total people, age group","Total people, sex",600,
"Waitaki District","Total people, usual residence five years ago","Total people, age group","Total people, sex",20826,
"Central Otago District","Total people, usual residence five years ago","Total people, age group","Total people, sex",17895,
"Queenstown-Lakes District","Total people, usual residence five years ago","Total people, age group","Total people, sex",28224,
"Dunedin City","Total people, usual residence five years ago","Total people, age group","Total people, sex",120246,
"Clutha District","Total people, usual residence five years ago","Total people, age group","Total people, sex",16890,
"Southland District","Total people, usual residence five years ago","Total people, age group","Total people, sex",29610,
"Gore District","Total people, usual residence five years ago","Total people, age group","Total people, sex",12033,
"Invercargill City","Total people, usual residence five years ago","Total people, age group","Total people, sex",51696,
"Total, Territorial Authority areas","Total people, usual residence five years ago","Total people, age group","Total people, sex",4241997,
"Area outside territorial authority","Total people, usual residence five years ago","Total people, age group","Total people, sex",51,
"Awanui","Total people, usual residence five years ago","Total people, age group","Total people, sex",339,
"Karikari Peninsula-Maungataniwha","Total people, usual residence five years ago","Total people, age group","Total people, sex",4344,
"Taipa Bay-Mangonui","Total people, usual residence five years ago","Total people, age group","Total people, sex",1662,
"Herekino","Total people, usual residence five years ago","Total people, age group","Total people, sex",2013,
"Masterton District","Total people, usual residence five years ago","Total people, age group","Total people, sex",23352,
"Wellington City","Total people, usual residence five years ago","Total people, age group","Total people, sex",190956,
"Lower Hutt City","Total people, usual residence five years ago","Total people, age group","Total people, sex",98238,
"Upper Hutt City","Total people, usual residence five years ago","Total people, age group","Total people, sex",40179,
"Porirua City","Total people, usual residence five years ago","Total people, age group","Total people, sex",51717,
"Kapiti Coast District","Total people, usual residence five years ago","Total people, age group","Total people, sex",49104,
"Horowhenua District","Total people, usual residence five years ago","Total people, age group","Total people, sex",30099,
"Tararua District","Total people, usual residence five years ago","Total people, age group","Total people, sex",16857,
"Palmerston North City","Total people, usual residence five years ago","Total people, age group","Total people, sex",80079,
"Manawatu District","Total people, usual residence five years ago","Total people, age group","Total people, sex",27459,
"Rangitikei District","Total people, usual residence five years ago","Total people, age group","Total people, sex",14019,
"Wanganui District","Total people, usual residence five years ago","Total people, age group","Total people, sex",42153,
"Ruapehu District","Total people, usual residence five years ago","Total people, age group","Total people, sex",11844,
"South Taranaki District","Total people, usual residence five years ago","Total people, age group","Total people, sex",26580,
"Stratford District","Total people, usual residence five years ago","Total people, age group","Total people, sex",8991,
"New Plymouth District","Total people, usual residence five years ago","Total people, age group","Total people, sex",74184,
"Central Hawke's Bay District","Total people, usual residence five years ago","Total people, age group","Total people, sex",12720,
"Napier City","Total people, usual residence five years ago","Total people, age group","Total people, sex",57240,
"Hastings District","Total people, usual residence five years ago","Total people, age group","Total people, sex",73242,
"Wairoa District","Total people, usual residence five years ago","Total people, age group","Total people, sex",7890,
"Gisborne District","Total people, usual residence five years ago","Total people, age group","Total people, sex",43653,
"Opotiki District","Total people, usual residence five years ago","Total people, age group","Total people, sex",8436,
"Kawerau District","Total people, usual residence five years ago","Total people, age group","Total people, sex",6363,
"Whakatane District","Total people, usual residence five years ago","Total people, age group","Total people, sex",32691,
"Rotorua District","Total people, usual residence five years ago","Total people, age group","Total people, sex",65280,
"Tauranga City","Total people, usual residence five years ago","Total people, age group","Total people, sex",114789,
"Western Bay of Plenty District","Total people, usual residence five years ago","Total people, age group","Total people, sex",43695,
"Taupo District","Total people, usual residence five years ago","Total people, age group","Total people, sex",32910,
"Waitomo District","Total people, usual residence five years ago","Total people, age group","Total people, sex",8910,
"South Waikato District","Total people, usual residence five years ago","Total people, age group","Total people, sex",22071,
"Otorohanga District","Total people, usual residence five years ago","Total people, age group","Total people, sex",9141,
"Waipa District","Total people, usual residence five years ago","Total people, age group","Total people, sex",46668,
"Hamilton City","Total people, usual residence five years ago","Total people, age group","Total people, sex",141612,
"Matamata-Piako District","Total people, usual residence five years ago","Total people, age group","Total people, sex",31536,
"Waikato District","Total people, usual residence five years ago","Total people, age group","Total people, sex",63381,
"Hauraki District","Total people, usual residence five years ago","Total people, age group","Total people, sex",17811,
"Thames-Coromandel District","Total people, usual residence five years ago","Total people, age group","Total people, sex",26178,
"Franklin Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",65319,
"Papakura Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",45636,
"Manurewa Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",82239,
"Otara-Papatoetoe Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",75663,
"Mangere-Otahuhu Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",70959,
"Howick Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",127125,
"Maungakiekie-Tamaki Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",70005,
"Orakei Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",79536,
"Puketapapa Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",52938,
"Albert-Eden Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",94695,
"Whau Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",72594,
"Waitemata Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",77136,
"Waiheke Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",8340,
"Great Barrier Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",939,
"Waitakere Ranges Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",48399,
"Henderson-Massey Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",107685,
"Devonport-Takapuna Local Board Area","Total people, usual residence five years ago","Total people, age group","Total people, sex",55470,
