Area,Value
"Total, New Zealand by territorial authority",4242048
Far North District,55734
Whangarei District,76995
Kaipara District,18963
Auckland,1415550
Rodney Local Board Area,54882
Hibiscus and Bays Local Board Area,89832
Upper Harbour Local Board Area,53670
Kaipatiki Local Board Area,82494
Devonport-Takapuna Local Board Area,55470
Henderson-Massey Local Board Area,107685
Waitakere Ranges Local Board Area,48399
Great Barrier Local Board Area,939
Waiheke Local Board Area,8337
Waitemata Local Board Area,77136
Whau Local Board Area,72594
Albert-Eden Local Board Area,94695
Puketapapa Local Board Area,52938
Orakei Local Board Area,79536
Maungakiekie-Tamaki Local Board Area,70002
Howick Local Board Area,127125
Mangere-Otahuhu Local Board Area,70959
Otara-Papatoetoe Local Board Area,75660
Manurewa Local Board Area,82242
Papakura Local Board Area,45633
Franklin Local Board Area,65322
Thames-Coromandel District,26181
Hauraki District,17808
Waikato District,63378
Matamata-Piako District,31536
Hamilton City,141612
Waipa District,46668
Otorohanga District,9141
South Waikato District,22071
Waitomo District,8910
Taupo District,32910
Western Bay of Plenty District,43692
Tauranga City,114789
Rotorua District,65280
Whakatane District,32688
Kawerau District,6363
Opotiki District,8436
Gisborne District,43653
Wairoa District,7890
Hastings District,73245
Napier City,57240
Central Hawke's Bay District,12720
New Plymouth District,74184
Stratford District,8991
South Taranaki District,26577
Ruapehu District,11844
Wanganui District,42150
Rangitikei District,14019
Manawatu District,27459
Palmerston North City,80079
Tararua District,16857
Horowhenua District,30096
Kapiti Coast District,49104
Porirua City,51717
Upper Hutt City,40179
Lower Hutt City,98238
Wellington City,190956
Masterton District,23352
Carterton District,8235
South Wairarapa District,9528
Tasman District,47154
Nelson City,46437
Marlborough District,43416
Kaikoura District,3555
Buller District,10470
Grey District,13371
Westland District,8304
Hurunui District,11529
Waimakariri District,49989
Christchurch City,341472
Selwyn District,44595
Ashburton District,31041
Timaru District,43932
Mackenzie District,4158
Waimate District,7536
Chatham Islands Territory,600
Waitaki District,20826
Central Otago District,17895
Queenstown-Lakes District,28224
Dunedin City,120246
Clutha District,16887
Southland District,29613
Gore District,12033
Invercargill City,51696
"Total, territorial authority areas",4241997
Area outside territorial authority,51
