"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Albany","36","$948,250","43.0%","Jul 2014"
"Albany Heights","7","$987,000","19.0%","Jul 2014"
"Algies Bay","6","$895,500","31.0%","Jul 2014"
"Arkles Bay","9","$910,000","21.0%","Jul 2014"
"Army Bay","5","$704,000","23.0%","Jul 2014"
"Auckland Central","347","$410,000","46.0%","Jul 2014"
"Avondale","61","$775,000","37.0%","Jul 2014"
"Awhitu","3","$453,000","26.0%","Jul 2014"
"Bayswater","7","$1,107,000","27.0%","Jul 2014"
"Bayview","35","$809,000","36.0%","Jul 2014"
"Beach Haven","46","$771,000","32.0%","Jul 2014"
"Beachlands","36","$1,064,000","32.0%","Jul 2014"
"Belmont","16","$1,031,500","36.0%","Jul 2014"
"Bethells Beach","1","$1,085,000","52.0%","Jul 2014"
"Birkdale","41","$767,000","35.0%","Jul 2014"
"Birkenhead","34","$973,000","29.0%","Jul 2014"
"Blockhouse Bay","41","$888,000","39.0%","Jul 2014"
"Bombay","1","$847,000","34.0%","Jul 2014"
"Botany Downs","16","$895,500","42.0%","Jul 2014"
"Browns Bay","45","$924,000","35.0%","Jul 2014"
"Buckland","3","$534,000","42.0%","Jul 2014"
"Bucklands Beach","35","$1,312,000","43.0%","Jul 2014"
"Burswood","9","$894,000","38.0%","Jul 2014"
"Campbells Bay","8","$1,796,500","25.0%","Jul 2014"
"Castor Bay","23","$1,442,000","47.0%","Jul 2014"
"Chatswood","6","$1,127,000","23.0%","Jul 2014"
"Clarks Beach","8","$608,000","18.0%","Jul 2014"
"Clendon Park","39","$524,000","57.0%","Jul 2014"
"Clevedon","1","$979,000","32.0%","Jul 2014"
"Clover Park","23","$595,000","50.0%","Jul 2014"
"Cockle Bay","19","$1,042,000","35.0%","Jul 2014"
"Conifer Grove","22","$784,500","49.0%","Jul 2014"
"Dairy Flat","2","$2,643,000","38.0%","Jul 2014"
"Dannemora","12","$1,296,500","34.0%","Jul 2014"
"Devonport","27","$1,440,000","32.0%","Jul 2014"
"Dome Forest","0","$0",".0%","Jul 2014"
"Drury","0","$0",".0%","Jul 2014"
"East Tamaki","28","$595,500","34.0%","Jul 2014"
"East Tamaki Heights","12","$1,265,000","37.0%","Jul 2014"
"Eastern Beach","8","$1,308,000","39.0%","Jul 2014"
"Eden Terrace","29","$583,000","46.0%","Jul 2014"
"Ellerslie","39","$885,000","45.0%","Jul 2014"
"Epsom","38","$1,787,500","31.0%","Jul 2014"
"Fairview Heights","16","$1,369,000","37.0%","Jul 2014"
"Farm Cove","8","$1,382,000","51.0%","Jul 2014"
"Favona","23","$689,251","43.0%","Jul 2014"
"Flat Bush","117","$977,000","41.0%","Jul 2014"
"Forrest Hill","30","$966,000","34.0%","Jul 2014"
"Freemans Bay","43","$1,100,000","29.0%","Jul 2014"
"Glen Eden","80","$669,000","43.0%","Jul 2014"
"Glen Innes","9","$1,058,000","61.0%","Jul 2014"
"Glenbrook","1","$517,000","36.0%","Jul 2014"
"Glendene","30","$740,000","43.0%","Jul 2014"
"Glendowie","35","$1,485,000","28.0%","Jul 2014"
"Glenfield","78","$802,500","35.0%","Jul 2014"
"Golflands","16","$1,123,500","41.0%","Jul 2014"
"Goodwood Heights","18","$756,500","44.0%","Jul 2014"
"Grafton","15","$369,000","39.0%","Jul 2014"
"Great Barrier Island (Aotea Island)","6","$432,500","33.0%","Jul 2014"
"Green Bay","12","$827,500","35.0%","Jul 2014"
"Greenhithe","29","$1,290,000","38.0%","Jul 2014"
"Greenlane","25","$1,361,000","36.0%","Jul 2014"
"Grey Lynn","48","$1,042,000","36.0%","Jul 2014"
"Gulf Harbour","36","$763,750","25.0%","Jul 2014"
"Half Moon Bay","26","$939,500","43.0%","Jul 2014"
"Hatfields Beach","7","$764,000","33.0%","Jul 2014"
"Hauraki","15","$1,434,000","43.0%","Jul 2014"
"Helensville","14","$605,491","33.0%","Jul 2014"
"Henderson","135","$742,000","42.0%","Jul 2014"
