"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Alexandra","34","$292,500","19.0%","Sep 2013"
"Bannockburn","3","$637,000","22.0%","Sep 2013"
"Bridge Hill","9","$347,000","15.0%","Sep 2013"
"Clyde","10","$327,750","15.0%","Sep 2013"
"Cromwell","44","$431,000","37.0%","Sep 2013"
"Ettrick","2","$157,250","30.0%","Sep 2013"
"Gladstone","1","$862,000","62.0%","Sep 2013"
"Lake Hawea","6","$474,500","24.0%","Sep 2013"
"Lake Roxburgh Village","1","$148,000","12.0%","Sep 2013"
"Lowburn","0","$0",".0%","Sep 2013"
"Luggate","2","$224,500","23.0%","Sep 2013"
"Millers Flat","1","$83,000","-20.0%","Sep 2013"
"Mount Pisa","9","$582,000","31.0%","Sep 2013"
"Naseby","3","$201,000","-6.0%","Sep 2013"
"Omakau","3","$154,000","32.0%","Sep 2013"
"Queensberry","0","$0",".0%","Sep 2013"
"Ranfurly","2","$164,000","-5.0%","Sep 2013"
"Roxburgh","9","$168,000","12.0%","Sep 2013"
"Roxburgh East","1","$173,000","15.0%","Sep 2013"
"Tarras","1","$266,000","26.0%","Sep 2013"
