"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Abbotsford","11","$303,000","15.0%","Jul 2013"
"Allanton","3","$292,000","42.0%","Jul 2013"
"Andersons Bay","23","$317,000","16.0%","Jul 2013"
"Aramoana","1","$137,000","7.0%","Jul 2013"
"Balaclava","2","$312,500","22.0%","Jul 2013"
"Belleknowes","24","$400,990","19.0%","Jul 2013"
"Bradford","6","$314,500","21.0%","Jul 2013"
"Brighton","5","$233,000","7.0%","Jul 2013"
"Broad Bay","5","$346,000","4.0%","Jul 2013"
"Brockville","9","$244,000","22.0%","Jul 2013"
"Burnside","1","$187,000","33.0%","Jul 2013"
"Calton Hill","8","$216,500","12.0%","Jul 2013"
"Careys Bay","1","$534,000","18.0%","Jul 2013"
"Caversham","19","$216,000","17.0%","Jul 2013"
"Clyde Hill","3","$171,000","33.0%","Jul 2013"
"Company Bay","0","$0",".0%","Jul 2013"
"Concord","10","$257,375","12.0%","Jul 2013"
"Corstorphine","5","$279,000","26.0%","Jul 2013"
"Dalmore","3","$227,000","6.0%","Jul 2013"
"Dunedin Central","18","$323,500","15.0%","Jul 2013"
"East Taieri","2","$385,000","5.0%","Jul 2013"
"Fairfield","15","$325,000","11.0%","Jul 2013"
"Forbury","5","$207,000","11.0%","Jul 2013"
"Glenleith","4","$287,750","9.0%","Jul 2013"
"Glenross","0","$0",".0%","Jul 2013"
"Green Island","19","$269,000","18.0%","Jul 2013"
"Halfway Bush","9","$249,000","13.0%","Jul 2013"
"Helensburgh","4","$318,000","7.0%","Jul 2013"
"Highcliff","1","$514,000","-3.0%","Jul 2013"
"Kaikorai","17","$240,000","21.0%","Jul 2013"
"Karitane","6","$285,000","5.0%","Jul 2013"
"Kenmure","7","$261,500","19.0%","Jul 2013"
"Kensington","1","$253,000","20.0%","Jul 2013"
"Kew","9","$349,000","3.0%","Jul 2013"
"Kinmont Park","6","$350,500","22.0%","Jul 2013"
"Liberton","2","$265,750","15.0%","Jul 2013"
"Long Beach","0","$0",".0%","Jul 2013"
"Lower Portobello","1","$89,000","8.0%","Jul 2013"
"Macandrew Bay","9","$339,000","9.0%","Jul 2013"
"Maori Hill","8","$497,000","15.0%","Jul 2013"
"Maryhill","9","$284,000","15.0%","Jul 2013"
"Momona","1","$349,000","14.0%","Jul 2013"
"Mornington","16","$267,000","17.0%","Jul 2013"
"Mosgiel","64","$349,875","12.0%","Jul 2013"
"Musselburgh","14","$299,000","15.0%","Jul 2013"
"Normanby","7","$248,000","12.0%","Jul 2013"
"North Dunedin","7","$460,000","23.0%","Jul 2013"
"North East Valley","26","$245,500","16.0%","Jul 2013"
"Ocean Grove","1","$349,013","39.0%","Jul 2013"
"Ocean View","4","$314,500","16.0%","Jul 2013"
"Opoho","6","$364,000","19.0%","Jul 2013"
"Outram","8","$450,500","18.0%","Jul 2013"
"Pine Hill","3","$292,000","17.0%","Jul 2013"
"Port Chalmers","8","$277,750","16.0%","Jul 2013"
"Portobello","3","$257,000","25.0%","Jul 2013"
"Ravensbourne","7","$257,000","7.0%","Jul 2013"
"Roslyn","9","$441,000","25.0%","Jul 2013"
"Saint Clair","17","$407,000","13.0%","Jul 2013"
"Saint Kilda","46","$261,500","13.0%","Jul 2013"
"Saint Leonards","3","$414,000","16.0%","Jul 2013"
"Sawyers Bay","3","$246,251","21.0%","Jul 2013"
"Seacliff","1","$231,000","44.0%","Jul 2013"
"Shiel Hill","5","$310,000","10.0%","Jul 2013"
"South Dunedin","33","$194,175","11.0%","Jul 2013"
"Tainui","12","$280,500","13.0%","Jul 2013"
"The Cove","1","$492,000","36.0%","Jul 2013"
"The Glen","5","$322,000","28.0%","Jul 2013"
"Vauxhall","3","$545,000","43.0%","Jul 2013"
"Waikouaiti","15","$233,000","7.0%","Jul 2013"
"Waitati","6","$272,000","12.0%","Jul 2013"
"Wakari","13","$301,003","26.0%","Jul 2013"
"Waldronville","2","$372,412","7.0%","Jul 2013"
"Warrington","2","$215,500","8.0%","Jul 2013"
"Waverley","8","$402,500","19.0%","Jul 2013"
"Westwood","1","$369,000","15.0%","Jul 2013"
"Woodhaugh","4","$237,500","23.0%","Jul 2013"
