"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Ahipara","6","$255,500","7.0%","Aug 2013"
"Cable Bay","6","$459,000","26.0%","Aug 2013"
"Coopers Beach","6","$405,000","14.0%","Aug 2013"
"Haruru","7","$292,000","3.0%","Aug 2013"
"Hihi","1","$414,000","23.0%","Aug 2013"
"Kaeo","2","$174,000","20.0%","Aug 2013"
"Kaikohe","27","$153,000","16.0%","Aug 2013"
"Kaitaia","24","$169,750","17.0%","Aug 2013"
"Karikari Peninsula","7","$294,000","20.0%","Aug 2013"
"Kawakawa","7","$176,000","20.0%","Aug 2013"
"Kerikeri","56","$554,000","30.0%","Aug 2013"
"Kohukohu","2","$263,000","25.0%","Aug 2013"
"Lake Ohia","0","$0",".0%","Aug 2013"
"Mangonui","2","$334,000","30.0%","Aug 2013"
"Moerewa","2","$140,000","20.0%","Aug 2013"
"Ohaeawai","3","$352,000","17.0%","Aug 2013"
"Okaihau","2","$242,500","7.0%","Aug 2013"
"Okiato","3","$350,000","14.0%","Aug 2013"
"Omapere","2","$216,000","7.0%","Aug 2013"
"Opononi","4","$266,000","26.0%","Aug 2013"
"Opua","2","$822,000","23.0%","Aug 2013"
"Oromahoe","0","$0",".0%","Aug 2013"
"Paihia","14","$392,250","10.0%","Aug 2013"
"Pukenui","3","$236,000","29.0%","Aug 2013"
"Rawene","0","$0",".0%","Aug 2013"
"Russell","10","$554,000","11.0%","Aug 2013"
"Taipa","4","$472,500","15.0%","Aug 2013"
"Taupo Bay","3","$187,000","-7.0%","Aug 2013"
"Totara North","1","$249,000","-2.0%","Aug 2013"
"Umawera","1","$259,000","15.0%","Aug 2013"
"Waimamaku","1","$141,000","-5.0%","Aug 2013"
"Waimate North","2","$451,500","12.0%","Aug 2013"
"Waipapa","7","$414,000","51.0%","Aug 2013"
"Waipapakauri","2","$245,000","5.0%","Aug 2013"
"Whakapara","2","$250,000","23.0%","Aug 2013"
"Whangaroa","1","$356,000","20.0%","Aug 2013"
