"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Awapuni","2","$215,750","18.0%","Jul 2014"
"Elgin","6","$154,000","2.0%","Jul 2014"
"Gisborne","13","$259,000","3.0%","Jul 2014"
"Inner Kaiti","11","$266,000","3.0%","Jul 2014"
"Kaiti","13","$148,000","4.0%","Jul 2014"
"Lytton West","4","$542,000","4.0%","Jul 2014"
"Makaraka","2","$166,500","-1.0%","Jul 2014"
"Mangapapa","22","$224,750","3.0%","Jul 2014"
"Matawhero","0","$0",".0%","Jul 2014"
"Muriwai","0","$0",".0%","Jul 2014"
"Okitu","4","$424,500","9.0%","Jul 2014"
"Ormond","0","$0",".0%","Jul 2014"
"Outer Kaiti","14","$158,500","9.0%","Jul 2014"
"Patutahi","1","$137,000","-8.0%","Jul 2014"
"Riverdale","8","$272,500","2.0%","Jul 2014"
"Tamarau","7","$181,000","8.0%","Jul 2014"
"Te Hapara","31","$206,000","4.0%","Jul 2014"
"Te Karaka","4","$104,000","1.0%","Jul 2014"
"Tokomaru Bay","1","$410,000","22.0%","Jul 2014"
"Tolaga Bay","1","$231,000","13.0%","Jul 2014"
"Wainui","4","$493,750","12.0%","Jul 2014"
"Whataupoko","23","$346,000","5.0%","Jul 2014"
