"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Ahaura","1","$115,000","-22.0%","Sep 2015"
"Barrytown","0","$0",".0%","Sep 2015"
"Blackball","5","$89,500","-5.0%","Sep 2015"
"Blaketown","2","$145,000","1.0%","Sep 2015"
"Cobden","5","$177,000","5.0%","Sep 2015"
"Dobson","2","$159,500","3.0%","Sep 2015"
"Gladstone","1","$219,000","-8.0%","Sep 2015"
"Greymouth","8","$176,500","-6.0%","Sep 2015"
"Inchbonnie","1","$379,000","-6.0%","Sep 2015"
"Kaiata","1","$101,000","-21.0%","Sep 2015"
"Karoro","6","$320,500",".0%","Sep 2015"
"Moana","7","$372,000","4.0%","Sep 2015"
"Ngahere","1","$106,000","-7.0%","Sep 2015"
"Paroa","1","$352,000","-9.0%","Sep 2015"
"Punakaiki","1","$332,000","-5.0%","Sep 2015"
"Runanga","4","$93,500",".0%","Sep 2015"
