"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Akina","24","$271,500","22.0%","Aug 2013"
"Bay View","6","$393,000","10.0%","Aug 2013"
"Bridge Pa","1","$680,000","11.0%","Aug 2013"
"Camberley","8","$239,500","24.0%","Aug 2013"
"Clive","10","$363,000","13.0%","Aug 2013"
"Crownthorpe","1","$527,000","19.0%","Aug 2013"
"Eskdale","7","$669,000","14.0%","Aug 2013"
"Flaxmere","38","$169,000","15.0%","Aug 2013"
"Frimley","9","$276,000","28.0%","Aug 2013"
"Hastings","21","$265,000","16.0%","Aug 2013"
"Haumoana","4","$367,000","17.0%","Aug 2013"
"Havelock North","100","$492,000","15.0%","Aug 2013"
"Longlands","2","$388,750",".0%","Aug 2013"
"Mahora","21","$307,500","20.0%","Aug 2013"
"Maraekakaho","3","$692,000","8.0%","Aug 2013"
"Mayfair","30","$265,500","19.0%","Aug 2013"
"Meeanee","0","$0",".0%","Aug 2013"
"Otane","5","$192,000","1.0%","Aug 2013"
"Parkvale","30","$270,500","19.0%","Aug 2013"
"Poraiti","8","$564,000","9.0%","Aug 2013"
"Poukawa","1","$400,000","25.0%","Aug 2013"
"Puketapu","1","$594,000","12.0%","Aug 2013"
"Raureka","27","$314,000","22.0%","Aug 2013"
"Roys Hill","1","$325,000","41.0%","Aug 2013"
"Saint Leonards","19","$274,000","13.0%","Aug 2013"
"Taradale","46","$381,500","19.0%","Aug 2013"
"Te Awanga","4","$440,500","2.0%","Aug 2013"
"Tikokino","1","$286,000","21.0%","Aug 2013"
"Twyford","2","$478,000","16.0%","Aug 2013"
"Waimarama","1","$319,000","28.0%","Aug 2013"
"Waiohiki","1","$521,500","18.0%","Aug 2013"
"Waipatu","1","$310,000","34.0%","Aug 2013"
"Whakatu","1","$236,000","31.0%","Aug 2013"
