"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Kaiaua","1","$416,000","45.0%","Jul 2015"
"Karangahake","2","$279,500","41.0%","Jul 2015"
"Kerepehi","6","$207,000","17.0%","Jul 2015"
"Mangatangi","0","$0",".0%","Jul 2015"
"Ngatea","7","$344,000","21.0%","Jul 2015"
"Paeroa","21","$250,000","21.0%","Jul 2015"
"Pipiroa","1","$460,000","100.0%","Jul 2015"
"Tahawai","2","$347,500","11.0%","Jul 2015"
"Turua","2","$319,500","15.0%","Jul 2015"
"Waihi","16","$286,500","23.0%","Jul 2015"
"Waikino","0","$0",".0%","Jul 2015"
"Waitakaruru","1","$282,000","2.0%","Jul 2015"
"Whakatiwai","2","$518,500","8.0%","Jul 2015"
"Whangamata","43","$519,000","22.0%","Jul 2015"
"Whiritoa","5","$405,000","17.0%","Jul 2015"
