"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Appleby","26","$123,500","10.0%","Jul 2014"
"Avenal","12","$286,000","-1.0%","Jul 2014"
"Bluff","6","$136,000","16.0%","Jul 2014"
"Clifton","7","$124,750","19.0%","Jul 2014"
"Georgetown","18","$147,250","7.0%","Jul 2014"
"Gladstone","26","$322,750","8.0%","Jul 2014"
"Glengarry","26","$178,000","10.0%","Jul 2014"
"Grasmere","23","$213,000","18.0%","Jul 2014"
"Hargest","10","$238,500","7.0%","Jul 2014"
"Hawthorndale","6","$232,750","10.0%","Jul 2014"
"Heidelberg","17","$160,000","13.0%","Jul 2014"
"Invercargill","1","$129,100","37.0%","Jul 2014"
"Kennington","0","$0",".0%","Jul 2014"
"Kew","3","$136,000","21.0%","Jul 2014"
"Kingswell","22","$164,111","14.0%","Jul 2014"
"Lorneville","2","$211,000","15.0%","Jul 2014"
"Makarewa","2","$179,000","2.0%","Jul 2014"
"Newfield","9","$226,000","22.0%","Jul 2014"
"Otatara","11","$334,000","19.0%","Jul 2014"
"Prestonville","1","$208,000","18.0%","Jul 2014"
"Queens Park","1","$675,000","25.0%","Jul 2014"
"Richmond","21","$236,000","13.0%","Jul 2014"
"Rockdale","6","$176,500","21.0%","Jul 2014"
"Rosedale","11","$354,000","9.0%","Jul 2014"
"Seaward Bush","1","$584,500","4.0%","Jul 2014"
"Strathern","41","$147,000","5.0%","Jul 2014"
"Tisbury","0","$0",".0%","Jul 2014"
"Turnbull Thomson Park","9","$156,000","2.0%","Jul 2014"
"Waihopai","0","$0",".0%","Jul 2014"
"Waikiwi","12","$259,000","10.0%","Jul 2014"
"Waverley","15","$248,001","7.0%","Jul 2014"
"West Invercargill","1","$169,000","-6.0%","Jul 2014"
"Windsor","29","$276,000","10.0%","Jul 2014"
