"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Alicetown","10","$479,750","23.0%","Sep 2013"
"Avalon","22","$359,500","10.0%","Sep 2013"
"Belmont","16","$538,500","10.0%","Sep 2013"
"Boulcott","15","$477,000","21.0%","Sep 2013"
"Days Bay","2","$873,500","4.0%","Sep 2013"
"Eastbourne","17","$637,000","4.0%","Sep 2013"
"Epuni","12","$461,500","14.0%","Sep 2013"
"Fairfield","12","$488,025","15.0%","Sep 2013"
"Harbour View","6","$386,500","9.0%","Sep 2013"
"Haywards","1","$352,000",".0%","Sep 2013"
"Hutt Central","15","$555,000","10.0%","Sep 2013"
"Kelson","11","$435,000","18.0%","Sep 2013"
"Korokoro","7","$494,000","15.0%","Sep 2013"
"Lowry Bay","3","$1,185,000",".0%","Sep 2013"
"Mahina Bay","1","$1,282,000","2.0%","Sep 2013"
"Manor Park","0","$0",".0%","Sep 2013"
"Maungaraki","19","$589,000","18.0%","Sep 2013"
"Melling","5","$452,000","15.0%","Sep 2013"
"Moera","4","$286,750","19.0%","Sep 2013"
"Naenae","33","$308,000","18.0%","Sep 2013"
"Normandale","8","$518,000","19.0%","Sep 2013"
"Petone","35","$469,000","18.0%","Sep 2013"
"Point Howard","0","$0",".0%","Sep 2013"
"Sorrento Bay","1","$565,000",".0%","Sep 2013"
"Stokes Valley","66","$317,000","11.0%","Sep 2013"
"Taita","28","$306,000","22.0%","Sep 2013"
"Tirohanga","10","$586,633","12.0%","Sep 2013"
"Wainuiomata","92","$258,500","17.0%","Sep 2013"
"Waiwhetu","18","$380,500","14.0%","Sep 2013"
"Waterloo","14","$516,500","18.0%","Sep 2013"
"Woburn","11","$774,000","10.0%","Sep 2013"
