"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Anakiwa","1","$326,000","-17.0%","Jul 2014"
"Blenheim","55","$321,000","15.0%","Jul 2014"
"Burleigh","1","$303,500","10.0%","Jul 2014"
"Canvastown","1","$412,000","5.0%","Jul 2014"
"Cissy Bay","1","$352,000",".0%","Jul 2014"
"Crail Bay","0","$0",".0%","Jul 2014"
"Fairhall","3","$700,000","5.0%","Jul 2014"
"Grovetown","2","$354,500","21.0%","Jul 2014"
"Havelock","8","$297,500","5.0%","Jul 2014"
"Islington","3","$401,000","16.0%","Jul 2014"
"Kaiaho Point","0","$0",".0%","Jul 2014"
"Kaiuma Bay","1","$690,000","2.0%","Jul 2014"
"Koromiko","1","$244,000","-7.0%","Jul 2014"
"Linkwater","0","$0",".0%","Jul 2014"
"Mahau Sound","1","$296,000","11.0%","Jul 2014"
"Mayfield","10","$251,500","6.0%","Jul 2014"
"Okiwi Bay","2","$392,250",".0%","Jul 2014"
"Onahau Bay","0","$0",".0%","Jul 2014"
"Picton","31","$300,000","15.0%","Jul 2014"
"Pinohia","0","$0",".0%","Jul 2014"
"Port Underwood","1","$327,000",".0%","Jul 2014"
"Rai Valley","0","$0",".0%","Jul 2014"
"Rarangi","1","$440,000","-24.0%","Jul 2014"
"Redwoodtown","37","$321,000","13.0%","Jul 2014"
"Renwick","21","$316,000","17.0%","Jul 2014"
"Riverlands","1","$407,000","13.0%","Jul 2014"
"Riversdale","7","$306,000","11.0%","Jul 2014"
"Saint Omer","0","$0",".0%","Jul 2014"
"Seddon","1","$180,000","12.0%","Jul 2014"
"Spring Creek","4","$335,000","20.0%","Jul 2014"
"Springlands","24","$394,000","16.0%","Jul 2014"
"St Arnaud","5","$285,000","2.0%","Jul 2014"
"Tennyson Inlet","1","$333,000","-13.0%","Jul 2014"
"Totaranui","1","$327,000","10.0%","Jul 2014"
"Waikawa","11","$512,000","8.0%","Jul 2014"
"Wairau Valley","1","$166,000","-7.0%","Jul 2014"
"Wakamarina","1","$410,000","15.0%","Jul 2014"
"Ward","1","$252,000","2.0%","Jul 2014"
"Whatamango Bay","0","$0",".0%","Jul 2014"
"Wither Hills","2","$518,000","8.0%","Jul 2014"
"Witherlea","49","$399,000","14.0%","Jul 2014"
