"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Gordonton","0","$0",".0%","Jul 2015"
"Manawaru","0","$0",".0%","Jul 2015"
"Matamata","72","$351,500","24.0%","Jul 2015"
"Morrinsville","47","$363,000","24.0%","Jul 2015"
"Motumaoho","1","$266,000","47.0%","Jul 2015"
"Otway","1","$254,000","25.0%","Jul 2015"
"Tahuna","0","$0",".0%","Jul 2015"
"Te Aroha","37","$294,000","22.0%","Jul 2015"
"Te Poi","0","$0",".0%","Jul 2015"
"Turangaomoana","1","$345,000","32.0%","Jul 2015"
"Waharoa","2","$188,000","18.0%","Jul 2015"
"Waitoa","0","$0",".0%","Jul 2015"
