"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Aokautere","1","$211,000","14.0%","Sep 2015"
"Ashhurst","14","$223,500","4.0%","Sep 2015"
"Awapuni","37","$317,000","8.0%","Sep 2015"
"Bunnythorpe","2","$302,000","-4.0%","Sep 2015"
"Cloverlea","16","$260,000","10.0%","Sep 2015"
"Fitzherbert","23","$482,000","3.0%","Sep 2015"
"Highbury","30","$245,000","10.0%","Sep 2015"
"Hokowhitu","45","$369,000","9.0%","Sep 2015"
"Kelvin Grove","49","$339,000","6.0%","Sep 2015"
"Linton","1","$254,000","15.0%","Sep 2015"
"Longburn","3","$198,000","4.0%","Sep 2015"
"Milson","33","$277,000","8.0%","Sep 2015"
"Newbury","1","$245,000","-7.0%","Sep 2015"
"Palmerston North","37","$299,000","8.0%","Sep 2015"
"Roslyn","33","$260,000","9.0%","Sep 2015"
"Takaro","38","$247,000","10.0%","Sep 2015"
"Terrace End","26","$321,500","7.0%","Sep 2015"
"Tokomaru","2","$298,000","-6.0%","Sep 2015"
"West End","27","$278,000","7.0%","Sep 2015"
"Westbrook","12","$244,500","12.0%","Sep 2015"
