"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Bulls","11","$231,500","15.0%","Jul 2014"
"Crofton","1","$188,000","-8.0%","Jul 2014"
"Fordell","1","$285,000","-5.0%","Jul 2014"
"Halcombe","2","$249,500","16.0%","Jul 2014"
"Hunterville","1","$36,000","-28.0%","Jul 2014"
"Koitiata","3","$120,000","-1.0%","Jul 2014"
"Mangaweka","2","$77,750","-11.0%","Jul 2014"
"Marton","49","$122,000","9.0%","Jul 2014"
"Parewanui","1","$168,000","-21.0%","Jul 2014"
"Sanson","5","$208,000","10.0%","Jul 2014"
"Santoft","1","$249,000","-7.0%","Jul 2014"
"Taihape","7","$79,000","5.0%","Jul 2014"
"Tangimoana","4","$145,500","2.0%","Jul 2014"
"Turakina","0","$0",".0%","Jul 2014"
