"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Atiamuri","1","$175,000","-15.0%","Jul 2014"
"Fairy Springs","8","$257,500","21.0%","Jul 2014"
"Fenton Park","6","$317,000","29.0%","Jul 2014"
"Fordlands","7","$136,000","30.0%","Jul 2014"
"Glenholme","26","$402,500","36.0%","Jul 2014"
"Hamurana","3","$458,000","13.0%","Jul 2014"
"Hannahs Bay","4","$273,500","39.0%","Jul 2014"
"Hillcrest","8","$321,500","17.0%","Jul 2014"
"Holdens Bay","7","$364,000","31.0%","Jul 2014"
"Kawaha Point","16","$426,000","19.0%","Jul 2014"
"Koutu","8","$189,500","34.0%","Jul 2014"
"Lake Okareka","3","$662,000","15.0%","Jul 2014"
"Lake Rotoma","4","$248,500","10.0%","Jul 2014"
"Lake Tarawera","3","$1,239,000","19.0%","Jul 2014"
"Lynmore","16","$432,500","28.0%","Jul 2014"
"Mamaku","7","$143,100","21.0%","Jul 2014"
"Mangakakahi","24","$226,000","32.0%","Jul 2014"
"Matipo Heights","0","$0",".0%","Jul 2014"
"Mourea","2","$214,250","26.0%","Jul 2014"
"Ngapuna","1","$248,000","37.0%","Jul 2014"
"Ngongotaha","22","$273,000","22.0%","Jul 2014"
"Ngongotaha Valley","1","$256,000","59.0%","Jul 2014"
"Ohinemutu","0","$0",".0%","Jul 2014"
"Okere Falls","1","$435,000","35.0%","Jul 2014"
"Owhata","52","$263,250","29.0%","Jul 2014"
"Pomare","6","$385,500","34.0%","Jul 2014"
"Pukehangi","36","$273,000","29.0%","Jul 2014"
"Reporoa","3","$108,000",".0%","Jul 2014"
"Rotoiti Forest","1","$1,551,000","26.0%","Jul 2014"
"Rotorua","7","$227,000","12.0%","Jul 2014"
"Selwyn Heights","4","$222,500","36.0%","Jul 2014"
"Springfield","22","$402,500","25.0%","Jul 2014"
"Sunnybrook","13","$313,000","31.0%","Jul 2014"
"Tihiotonga","3","$399,000","26.0%","Jul 2014"
"Tikitere","1","$352,000","33.0%","Jul 2014"
"Utuhina","10","$293,500","27.0%","Jul 2014"
"Victoria","19","$236,500","21.0%","Jul 2014"
"Western Heights","22","$191,500","30.0%","Jul 2014"
"Whakarewarewa","1","$197,000","37.0%","Jul 2014"
