"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Benneydale","3","$34,000","2.0%","Jul 2014"
"Horopito","1","$244,000","-4.0%","Jul 2014"
"Kuratau","14","$307,000",".0%","Jul 2014"
"Manunui","6","$77,000","8.0%","Jul 2014"
"National Park","4","$153,500","-20.0%","Jul 2014"
"Ohakune","25","$200,000","1.0%","Jul 2014"
"Owhango","2","$130,500","-17.0%","Jul 2014"
"Raetihi","3","$104,000","-27.0%","Jul 2014"
"Rangataua","3","$213,000","5.0%","Jul 2014"
"Taihape","7","$79,000","5.0%","Jul 2014"
"Taumarunui","24","$124,000","-1.0%","Jul 2014"
"Waiouru","1","$106,000","-13.0%","Jul 2014"
