"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Eltham","13","$146,000","-2.0%","Sep 2015"
"Hawera","71","$219,000","1.0%","Sep 2015"
"Manaia","6","$120,000","-2.0%","Sep 2015"
"Ngaere","1","$173,000","8.0%","Sep 2015"
"Normanby","3","$239,000","-4.0%","Sep 2015"
"Ohangai","1","$150,000","36.0%","Sep 2015"
"Ohawe","3","$193,000","-4.0%","Sep 2015"
"Okato","4","$260,500","26.0%","Sep 2015"
"Opunake","12","$142,000","-5.0%","Sep 2015"
"Otakeho","0","$0",".0%","Sep 2015"
"Patea","10","$73,500","6.0%","Sep 2015"
"Pungarehu","1","$80,000",".0%","Sep 2015"
"Rahotu","0","$0",".0%","Sep 2015"
"Warea","0","$0",".0%","Sep 2015"
"Waverley","4","$126,000","-2.0%","Sep 2015"
