"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Akitio","1","$266,000","10.0%","Sep 2014"
"Aokautere","1","$211,000","14.0%","Sep 2014"
"Ashhurst","14","$223,500","4.0%","Sep 2014"
"Dannevirke","38","$131,500","2.0%","Sep 2014"
"Eketahuna","6","$137,250","12.0%","Sep 2014"
"Herbertville","1","$180,000","-26.0%","Sep 2014"
"Mangatainoka","1","$155,000","8.0%","Sep 2014"
"Ormondville","1","$101,000","1.0%","Sep 2014"
"Pahiatua","26","$152,000","4.0%","Sep 2014"
"Pongaroa","2","$49,500","-15.0%","Sep 2014"
"Porangahau","1","$148,000","13.0%","Sep 2014"
"Takapau","1","$145,000","3.0%","Sep 2014"
"Tinui","1","$115,000","15.0%","Sep 2014"
"Woodville","12","$101,500","-1.0%","Sep 2014"
