"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Acacia Bay","11","$543,000","7.0%","Jul 2013"
"Atiamuri","1","$175,000","-15.0%","Jul 2013"
"Hilltop","25","$315,000","22.0%","Jul 2013"
"Kinloch","8","$427,000","24.0%","Jul 2013"
"Kuratau","14","$307,000",".0%","Jul 2013"
"Mangakino","19","$131,000",".0%","Jul 2013"
"Motuoapa","5","$314,000","4.0%","Jul 2013"
"Nukuhau","38","$367,250","17.0%","Jul 2013"
"Omori","9","$288,000","-2.0%","Jul 2013"
"Rainbow Point","10","$452,000","13.0%","Jul 2013"
"Rangatira Park","11","$482,000","9.0%","Jul 2013"
"Richmond Heights","22","$369,000","24.0%","Jul 2013"
"Tauhara","15","$255,000","20.0%","Jul 2013"
"Taupo","59","$309,000","18.0%","Jul 2013"
"Tauranga Taupo","2","$389,500","-19.0%","Jul 2013"
"Turangi","27","$165,000","1.0%","Jul 2013"
"Two Mile Bay","6","$394,000","5.0%","Jul 2013"
"Waipahihi","10","$501,500","19.0%","Jul 2013"
"Wairakei","1","$186,000","36.0%","Jul 2013"
"Waitahanui","1","$547,000","-8.0%","Jul 2013"
"Whakamaru","5","$160,000","5.0%","Jul 2013"
"Wharewaka","6","$549,350","17.0%","Jul 2013"
