"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Bellevue","26","$393,000","23.0%","Jul 2015"
"Bethlehem","42","$697,500","21.0%","Jul 2015"
"Brookfield","21","$504,000","29.0%","Jul 2015"
"Gate Pa","41","$404,000","31.0%","Jul 2015"
"Greerton","29","$444,000","32.0%","Jul 2015"
"Hairini","18","$429,000","28.0%","Jul 2015"
"Judea","26","$370,000","26.0%","Jul 2015"
"Matapihi","1","$554,000","33.0%","Jul 2015"
"Matua","34","$681,000","28.0%","Jul 2015"
"Maungatapu","16","$603,500","40.0%","Jul 2015"
"Mount Maunganui","127","$577,000","23.0%","Jul 2015"
"Ohauiti","12","$650,500","27.0%","Jul 2015"
"Otumoetai","56","$541,500","27.0%","Jul 2015"
"Papamoa Beach","209","$610,000","25.0%","Jul 2015"
"Parkvale","11","$362,000","33.0%","Jul 2015"
"Poike","5","$310,000","29.0%","Jul 2015"
"Pyes Pa","55","$612,000","27.0%","Jul 2015"
"Tauranga","18","$601,500","19.0%","Jul 2015"
"Tauranga South","33","$610,000","25.0%","Jul 2015"
"Welcome Bay","62","$514,250","28.0%","Jul 2015"
