"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Cooks Beach","4","$495,500","32.0%","Jul 2014"
"Coroglen","1","$293,000","17.0%","Jul 2014"
"Coromandel","6","$403,000","14.0%","Jul 2014"
"Ferry Landing","0","$0",".0%","Jul 2014"
"Hahei","2","$517,000","-3.0%","Jul 2014"
"Kuaotunu","2","$489,000","18.0%","Jul 2014"
"Matarangi","13","$396,000","11.0%","Jul 2014"
"Onemana","2","$480,750","23.0%","Jul 2014"
"Opito Bay","1","$678,000","2.0%","Jul 2014"
"Pauanui","23","$552,000","17.0%","Jul 2014"
"Port Charles","2","$510,000","-3.0%","Jul 2014"
"Rings Beach","3","$644,000","6.0%","Jul 2014"
"Ruamahunga","1","$697,000","16.0%","Jul 2014"
"Tairua","28","$430,500","13.0%","Jul 2014"
"Tapu","1","$297,000","12.0%","Jul 2014"
"Te Kouma","1","$559,000","1.0%","Jul 2014"
"Te Mata","1","$328,000","17.0%","Jul 2014"
"Te Puru","3","$335,000","12.0%","Jul 2014"
"Thames","42","$382,000","37.0%","Jul 2014"
"Thornton Bay","3","$554,000","30.0%","Jul 2014"
"Whangamata","43","$519,000","22.0%","Jul 2014"
"Whangapoua","5","$794,000","-3.0%","Jul 2014"
"Whitianga","52","$431,500","23.0%","Jul 2014"
"Wyuna Bay","2","$628,500","17.0%","Jul 2014"
