"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Fairview","1","$361,000","4.0%","Sep 2014"
"Geraldine","19","$371,000","8.0%","Sep 2014"
"Geraldine Downs","2","$412,000","-5.0%","Sep 2014"
"Gleniti","15","$502,000","8.0%","Sep 2014"
"Glenwood","9","$353,000","16.0%","Sep 2014"
"Highfield","18","$320,000","16.0%","Sep 2014"
"Kensington","8","$269,500","17.0%","Sep 2014"
"Levels","0","$0",".0%","Sep 2014"
"Maori Hill","8","$240,625","13.0%","Sep 2014"
"Marchwiel","16","$287,750","11.0%","Sep 2014"
"Normanby","1","$364,000","12.0%","Sep 2014"
"Oceanview","3","$397,000","4.0%","Sep 2014"
"Orari","1","$269,000","-5.0%","Sep 2014"
"Orari Bridge","0","$0",".0%","Sep 2014"
"Pareora","3","$194,000","16.0%","Sep 2014"
"Pareora West","0","$0",".0%","Sep 2014"
"Parkside","18","$258,000","14.0%","Sep 2014"
"Pleasant Point","11","$312,000","6.0%","Sep 2014"
"Redruth","1","$155,000","10.0%","Sep 2014"
"Seadown","0","$0",".0%","Sep 2014"
"Seaview","14","$267,000","11.0%","Sep 2014"
"Temuka","36","$264,500","13.0%","Sep 2014"
"Timaru","2","$225,500","31.0%","Sep 2014"
"Waimataitai","13","$274,500","16.0%","Sep 2014"
"Washdyke","2","$250,500","28.0%","Sep 2014"
"Watlington","8","$247,000","21.0%","Sep 2014"
"West End","19","$344,000","21.0%","Sep 2014"
"Winchester","2","$175,500","13.0%","Sep 2014"
"Woodbury","1","$462,000","-7.0%","Sep 2014"
