"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Aka Aka","0","$0",".0%","Jul 2014"
"Baverstock","1","$597,000","10.0%","Jul 2014"
"Bombay","1","$847,000","34.0%","Jul 2014"
"Buckland","3","$534,000","42.0%","Jul 2014"
"Burbush","1","$408,500","23.0%","Jul 2014"
"Cambridge","54","$610,750","37.0%","Jul 2014"
"Chartwell","29","$497,000","17.0%","Jul 2014"
"Dinsdale","58","$464,500","18.0%","Jul 2014"
"Fairview Downs","9","$424,000","14.0%","Jul 2014"
"Flagstaff","69","$748,000","18.0%","Jul 2014"
"Glen Massey","0","$0",".0%","Jul 2014"
"Gordonton","0","$0",".0%","Jul 2014"
"Hampton Downs","1","$569,000","30.0%","Jul 2014"
"Huntington","32","$717,000","18.0%","Jul 2014"
"Huntly","41","$276,000","54.0%","Jul 2014"
"Mangatangi","0","$0",".0%","Jul 2014"
"Mauku","1","$930,000","19.0%","Jul 2014"
"Mercer","0","$0",".0%","Jul 2014"
"Meremere","7","$286,000","64.0%","Jul 2014"
"Morrinsville","47","$363,000","24.0%","Jul 2014"
"Motumaoho","1","$266,000","47.0%","Jul 2014"
"Newstead","1","$510,000","9.0%","Jul 2014"
"Ngahinapouri","2","$457,500","47.0%","Jul 2014"
"Ngaruawahia","30","$315,500","36.0%","Jul 2014"
"Ohinewai","0","$0",".0%","Jul 2014"
"Pokeno","19","$707,000","27.0%","Jul 2014"
"Port Waikato","2","$279,500","29.0%","Jul 2014"
"Pukekohe","148","$588,000","30.0%","Jul 2014"
"Pukemiro","2","$148,000","63.0%","Jul 2014"
"Puketaha","2","$363,500","6.0%","Jul 2014"
"Raglan","20","$434,000","36.0%","Jul 2014"
"Rangiriri","1","$474,000","26.0%","Jul 2014"
"Riverlea","8","$301,500","6.0%","Jul 2014"
"Rototuna North","27","$687,000","23.0%","Jul 2014"
"Tamahere","3","$644,000","41.0%","Jul 2014"
"Taupiri","2","$276,000","80.0%","Jul 2014"
"Te Kauwhata","11","$434,000","33.0%","Jul 2014"
"Te Kowhai","2","$451,000","37.0%","Jul 2014"
"Temple View","0","$0",".0%","Jul 2014"
"Tuakau","31","$485,000","38.0%","Jul 2014"
"Waitakaruru","1","$282,000","2.0%","Jul 2014"
"Waiuku","55","$562,000","37.0%","Jul 2014"
"Whatawhata","3","$306,500","48.0%","Jul 2014"
