"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Deborah","1","$288,000","-7.0%","Sep 2014"
"Hampden","3","$143,000","13.0%","Sep 2014"
"Herbert","0","$0",".0%","Sep 2014"
"Holmes Hill","10","$235,000","13.0%","Sep 2014"
"Kakanui","5","$253,000","3.0%","Sep 2014"
"Kurow","8","$212,000","11.0%","Sep 2014"
"Moeraki","1","$306,000","20.0%","Sep 2014"
"Oamaru","33","$239,000","7.0%","Sep 2014"
"Oamaru North","51","$220,000","11.0%","Sep 2014"
"Omarama","0","$0",".0%","Sep 2014"
"Otematata","5","$204,500","12.0%","Sep 2014"
"Palmerston","6","$197,000","1.0%","Sep 2014"
"Pukeuri","1","$216,000","8.0%","Sep 2014"
"Shag Point","2","$273,500","-19.0%","Sep 2014"
"South Hill","20","$229,000","11.0%","Sep 2014"
"Waiareka Junction","1","$427,000","16.0%","Sep 2014"
"Waitaki Bridge","1","$146,000","32.0%","Sep 2014"
"Weston","6","$280,500",".0%","Sep 2014"
"Windsor","1","$126,000","2.0%","Sep 2014"
