"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Aongatete","0","$0",".0%","Jul 2014"
"Athenree","5","$743,000","19.0%","Jul 2014"
"Bowentown","5","$520,000","9.0%","Jul 2014"
"Katikati","23","$430,000","42.0%","Jul 2014"
"Maketu","4","$356,000","-3.0%","Jul 2014"
"Ohauiti","12","$650,500","27.0%","Jul 2014"
"Omokoroa","14","$724,000","33.0%","Jul 2014"
"Paengaroa","1","$369,000","67.0%","Jul 2014"
"Papamoa Beach","209","$610,000","25.0%","Jul 2014"
"Pukehina","10","$560,500","32.0%","Jul 2014"
"Pyes Pa","55","$612,000","27.0%","Jul 2014"
"Tahawai","2","$347,500","11.0%","Jul 2014"
"Tanners Point","0","$0",".0%","Jul 2014"
"Te Puke","37","$353,000","43.0%","Jul 2014"
"Waihi","16","$286,500","23.0%","Jul 2014"
"Waihi Beach","14","$492,500","24.0%","Jul 2014"
"Welcome Bay","62","$514,250","28.0%","Jul 2014"
"Whakamarama","1","$713,000","41.0%","Jul 2014"
