"Suburb","Number of Sales","Median Sale Price","Difference Between Sales Price and CV","Capital Value Date"
"Aramoho","17","$169,000","3.0%","Sep 2013"
"Bastia Hill","4","$232,500","7.0%","Sep 2013"
"Castlecliff","36","$109,500","-6.0%","Sep 2013"
"College Estate","7","$329,000","5.0%","Sep 2013"
"Durie Hill","10","$178,000","-8.0%","Sep 2013"
"Fordell","1","$285,000","-5.0%","Sep 2013"
"Gonville","34","$159,000",".0%","Sep 2013"
"Kai Iwi","1","$442,000","-11.0%","Sep 2013"
"Marybank","1","$214,000","-14.0%","Sep 2013"
"Otamatea","9","$411,000",".0%","Sep 2013"
"Saint Johns Hill","11","$282,000","5.0%","Sep 2013"
"Springvale","30","$247,500","9.0%","Sep 2013"
"Tawhero","21","$219,000","4.0%","Sep 2013"
"Wanganui","29","$138,500","1.0%","Sep 2013"
"Wanganui East","32","$152,500","1.0%","Sep 2013"
"Westmere","4","$388,000","18.0%","Sep 2013"
